Jurisdiction,Agenda Page
Lawndale,https://www.lawndalecity.org/cms/one.aspx?pageId=17106541
Lawndale,https://www.lawndalecity.org/government/departments/city_clerk_s_office/agendas_minutes/planning_commission
Diamond Bar,http://diamondbarca.iqm2.com/Citizens/calendar.aspx
Azusa,https://www.ci.azusa.ca.us/Archive.aspx?AMID=30
Azusa,https://www.ci.azusa.ca.us/Archive.aspx?AMID=48
San Gabriel,https://www.sangabrielcity.com/agendacenter
San Gabriel,https://www.sangabrielcity.com/Archive.aspx?AMID=38
Beverly Hills,http://www.beverlyhills.org/departments/informationtechnology/beverlyhillstelevision/citycouncilmeetings/
Beverly Hills,http://www.beverlyhills.org/departments/communitydevelopment/planning/commissions/planningcommission/web.jsp
Arcadia,https://www.arcadiaca.gov/discover/city_council/city_council_meetings___agendas.php
Arcadia,https://www.arcadiaca.gov/discover/boards_and_commissions/planning_commission.php
Culver City,https://culver-city.legistar.com/Calendar.aspx
Culver City,https://culver-city.legistar.com/DepartmentDetail.aspx?ID=27979&GUID=3535218F-2E59-4F92-9E0F-44A0A4655676
Whittier,https://online.cityofwhittier.org/OnBaseAgendaOnline/
Bellflower,https://www.bellflower.org/government/boards_committees___commissions/planning_commission.php
Bellflower,https://www.bellflower.org/government/city_council/city_council_meetings.php
Lakewood,https://www.lakewoodcity.org/council/all_agendas_.asp
West Hollywood,https://www.weho.org/city-government/city-council/council-agendas
West Hollywood,https://www.weho.org/city-government/download-documents/-folder-231
Pico Rivera,http://www.pico-rivera.org/depts/ced/planning/commission/pc_agendas.asp
Pico Rivera,http://www.pico-rivera.org/depts/admin/clerk/am/agendas.asp
Rosemead,http://www3.cityofrosemead.org:8081/weblink/browse.aspx?startid=136&dbid=0
Torrance,https://www.torranceca.gov/government/city-clerk/commissions-and-advisory-boards/planning-commission/agendas-and-minutes
Torrance,https://www.torranceca.gov/government/council-agendas-minutes/-folder-5355
Norwalk,https://www.norwalk.org/city-hall/meeting-agendas-393
Montebello,https://www.cityofmontebello.com/department/planning-community-development/planning-commission.html
Montebello,https://www.cityofmontebello.com/government/public-meetings.html
